target,grid_id,grid_x,grid_y,grid_z
nram,1,50.184,-1.108,30.833
nram,2,16.506,-35.380,61.427
nram,3,64.117,-11.464,80.638
nram,4,22.895,5.013,63.650
nram,5,53.078,-37.150,47.579
nram,6,24.333,-15.443,33.080
nram,7,41.808,-30.485,72.252
nram,8,49.612,1.972,61.840
nram,9,39.293,-6.418,84.333
nram,10,41.442,-16.876,51.226
nram,11,31.594,4.121,43.519
nram,12,14.914,-11.777,53.752
nram,13,55.074,-21.397,32.350
nram,14,32.828,-35.558,48.078
nram,15,58.003,-28.890,63.562
nram,16,32.078,-13.676,66.593
nram,17,57.946,-8.595,49.718
nram,18,48.920,-14.517,69.841
nram,19,40.114,-33.651,33.683
nram,20,17.093,-20.086,67.164
nram,21,47.848,7.585,47.703
nram,22,39.372,-11.353,31.151
nram,23,45.509,5.480,75.439
nram,24,27.806,-12.988,47.464
nram,25,31.461,-34.932,62.304
nram,26,63.295,-0.816,63.928
