target,grid_id,grid_x,grid_y,grid_z
pa2ga,1,-52.041,62.815,29.135
pa2ga,2,-18.664,89.838,70.917
pa2ga,3,-75.327,93.985,63.471
pa2ga,4,-45.347,47.642,72.000
pa2ga,5,-52.674,102.205,19.964
pa2ga,6,-14.620,75.962,34.622
pa2ga,7,-79.147,62.683,50.856
pa2ga,8,-13.333,56.973,60.862
pa2ga,9,-49.571,78.137,81.232
pa2ga,10,-34.668,100.959,46.018
pa2ga,11,-27.175,46.340,34.309
pa2ga,12,-74.666,83.432,29.459
pa2ga,13,-35.988,71.556,52.323
pa2ga,14,-65.383,40.763,38.898
pa2ga,15,-54.654,86.622,44.424
pa2ga,16,-36.625,78.998,20.819
pa2ga,17,-66.600,66.492,70.168
pa2ga,18,-69.580,42.308,61.787
pa2ga,19,-53.407,99.284,68.737
pa2ga,20,-47.279,41.854,21.512
pa2ga,21,-30.037,66.696,73.060
pa2ga,22,-59.244,78.836,15.399
pa2ga,23,-40.102,50.629,51.403
pa2ga,24,-76.769,62.760,30.363
pa2ga,25,-58.530,59.205,49.085
pa2ga,26,-18.056,76.072,56.867
