target,grid_id,grid_x,grid_y,grid_z
parp1,1,16.100,37.415,4.008
parp1,2,44.971,12.301,54.528
parp1,3,32.404,-7.268,12.191
parp1,4,-1.427,10.901,32.921
parp1,5,26.142,42.083,39.999
parp1,6,8.315,6.000,-1.232
parp1,7,35.477,21.768,20.449
parp1,8,17.425,-10.706,32.737
parp1,9,25.685,12.946,41.084
parp1,10,35.567,15.013,-1.915
parp1,11,13.856,26.557,25.115
parp1,12,10.959,-8.697,12.735
parp1,13,43.078,2.174,26.678
parp1,14,31.889,41.781,20.698
parp1,15,30.555,27.503,54.123
parp1,16,41.467,23.415,38.456
parp1,17,20.987,19.744,8.820
parp1,18,4.741,7.798,16.202
parp1,19,24.991,3.878,26.676
parp1,20,24.148,3.252,-0.974
parp1,21,32.339,30.442,7.662
parp1,22,39.198,7.794,12.829
parp1,23,22.174,27.224,41.065
parp1,24,32.180,31.334,30.280
parp1,25,16.845,12.835,19.630
parp1,26,23.629,47.247,9.314
