target,grid_id,grid_x,grid_y,grid_z
pde5a,1,-3.982,28.215,83.642
pde5a,2,-26.306,80.657,78.031
pde5a,3,20.368,68.460,72.721
pde5a,4,-3.899,61.269,100.593
pde5a,5,-32.168,46.022,70.902
pde5a,6,-7.514,64.443,62.454
pde5a,7,-29.528,59.104,90.766
pde5a,8,8.821,47.616,80.359
pde5a,9,-16.997,43.022,101.773
pde5a,10,-3.874,74.379,82.333
pde5a,11,-11.374,47.030,75.858
pde5a,12,13.462,75.785,92.285
pde5a,13,-23.002,32.408,82.339
pde5a,14,-0.211,41.161,96.193
pde5a,15,-22.131,61.284,71.884
pde5a,16,-12.684,73.975,95.844
pde5a,17,5.955,62.686,79.923
pde5a,18,-19.024,49.254,88.701
pde5a,19,10.348,60.893,93.661
pde5a,20,13.175,56.210,69.647
pde5a,21,-18.288,68.607,83.230
pde5a,22,-11.914,37.865,90.493
pde5a,23,-10.880,31.507,72.644
pde5a,24,-15.854,60.120,96.363
pde5a,25,-4.397,53.234,91.176
pde5a,26,-33.977,63.037,80.058
