target,grid_id,grid_x,grid_y,grid_z
pgh2,1,34.643,-8.077,18.760
pgh2,2,57.783,-68.330,83.624
pgh2,3,101.974,-24.238,-21.178
pgh2,4,-6.423,-45.311,62.696
pgh2,5,30.094,-58.559,-26.435
pgh2,6,85.615,-21.304,49.645
pgh2,7,53.585,-55.789,30.608
pgh2,8,51.940,-14.180,-26.852
pgh2,9,33.507,-16.594,64.609
pgh2,10,81.804,-1.807,9.423
pgh2,11,18.060,-76.809,48.232
pgh2,12,7.979,-34.109,-0.211
pgh2,13,20.609,-52.915,94.209
pgh2,14,70.148,-50.777,-30.932
pgh2,15,86.014,-58.510,57.357
pgh2,16,18.273,-36.234,36.498
pgh2,17,73.730,-38.069,3.707
pgh2,18,36.263,10.404,-10.712
pgh2,19,40.785,-44.711,1.924
pgh2,20,62.278,-33.079,69.749
pgh2,21,31.823,-48.933,63.825
pgh2,22,56.442,-7.065,43.856
pgh2,23,19.898,-14.968,-26.348
pgh2,24,61.010,-76.887,52.598
pgh2,25,79.914,-4.824,-20.760
pgh2,26,93.287,-27.588,21.007
