target,grid_id,grid_x,grid_y,grid_z
plk1,1,3.724,12.537,46.069
plk1,2,-9.019,34.958,102.010
plk1,3,-6.050,58.790,59.006
plk1,4,-32.617,30.116,57.128
plk1,5,20.761,28.502,69.701
plk1,6,-7.817,24.000,70.893
plk1,7,-23.499,49.034,79.075
plk1,8,-0.507,38.307,43.803
plk1,9,-1.729,44.420,81.771
plk1,10,19.284,36.483,50.580
plk1,11,-22.875,48.184,53.292
plk1,12,1.506,41.518,63.302
plk1,13,-25.563,29.412,73.922
plk1,14,-9.496,20.584,88.467
plk1,15,-15.427,32.229,53.961
plk1,16,14.581,11.817,58.606
plk1,17,-35.903,38.262,82.539
plk1,18,5.599,15.536,71.068
plk1,19,2.282,27.360,54.567
plk1,20,4.382,30.404,82.919
plk1,21,14.461,23.215,44.625
plk1,22,-12.883,47.581,68.350
plk1,23,28.129,27.945,57.589
plk1,24,-14.556,41.310,86.661
plk1,25,-26.262,43.573,66.547
plk1,26,-0.371,53.366,70.452
