target,grid_id,grid_x,grid_y,grid_z
pnph,1,-7.389,2.756,75.328
pnph,2,9.464,35.204,36.428
pnph,3,5.090,43.416,81.554
pnph,4,28.073,-1.660,46.678
pnph,5,21.571,16.003,76.220
pnph,6,-10.708,22.156,54.260
pnph,7,26.547,23.181,52.064
pnph,8,6.857,5.358,55.905
pnph,9,-10.183,26.530,82.707
pnph,10,2.247,40.641,59.152
pnph,11,5.664,22.832,64.977
pnph,12,7.980,16.783,39.582
pnph,13,18.496,36.046,64.901
pnph,14,5.500,-0.614,39.702
pnph,15,-19.961,14.142,66.329
pnph,16,12.048,27.927,81.705
pnph,17,8.998,28.742,50.576
pnph,18,-6.212,10.028,62.324
pnph,19,3.997,11.960,76.435
pnph,20,-2.663,33.148,72.227
pnph,21,-11.659,40.947,62.758
pnph,22,29.271,10.918,58.469
pnph,23,-4.033,28.840,44.103
pnph,24,20.676,29.148,40.358
pnph,25,15.693,-4.840,45.943
pnph,26,16.222,17.587,60.872
