target,grid_id,grid_x,grid_y,grid_z
ppara,1,16.187,7.764,5.063
ppara,2,20.481,58.864,37.775
ppara,3,15.771,15.037,44.741
ppara,4,-4.027,40.064,11.496
ppara,5,27.294,38.112,10.753
ppara,6,-9.485,13.289,22.076
ppara,7,1.641,39.163,41.143
ppara,8,11.619,31.691,-6.074
ppara,9,24.836,36.783,36.950
ppara,10,15.354,21.583,22.209
ppara,11,10.936,46.161,23.481
ppara,12,12.636,48.353,3.628
ppara,13,3.513,22.935,8.188
ppara,14,15.832,45.762,49.111
ppara,15,7.247,5.315,19.765
ppara,16,-4.850,28.894,27.230
ppara,17,3.641,15.095,33.286
ppara,18,28.338,48.925,26.326
ppara,19,2.538,54.364,13.534
ppara,20,21.236,24.605,3.477
ppara,21,29.235,25.355,45.656
ppara,22,-1.914,49.426,30.092
ppara,23,12.238,34.854,14.215
ppara,24,9.497,27.515,38.447
ppara,25,26.321,18.383,14.707
ppara,26,9.066,16.671,-1.908
