target,grid_id,grid_x,grid_y,grid_z
ppard,1,-0.393,-2.396,4.281
ppard,2,12.884,-55.804,41.576
ppard,3,7.316,3.440,59.438
ppard,4,20.156,-47.352,-9.200
ppard,5,31.604,-12.699,27.716
ppard,6,-1.518,-27.395,28.659
ppard,7,-5.345,17.997,30.459
ppard,8,39.151,-36.207,10.594
ppard,9,29.663,12.519,42.432
ppard,10,-0.637,-52.789,9.003
ppard,11,22.424,10.093,15.862
ppard,12,16.232,-26.813,10.602
ppard,13,22.395,-33.322,37.940
ppard,14,5.415,-3.944,30.894
ppard,15,1.975,21.146,9.739
ppard,16,-2.462,-37.842,47.951
ppard,17,22.933,-9.601,47.050
ppard,18,21.928,-50.622,23.202
ppard,19,-0.766,-47.342,28.097
ppard,20,21.558,-7.149,6.520
ppard,21,13.730,15.654,30.805
ppard,22,26.552,-27.494,-3.899
ppard,23,15.519,-43.791,8.771
ppard,24,5.144,14.351,45.297
ppard,25,11.082,-37.684,23.534
ppard,26,12.087,-21.420,34.432
