target,grid_id,grid_x,grid_y,grid_z
pparg,1,1.708,21.641,56.809
pparg,2,11.850,28.300,-0.565
pparg,3,-17.312,15.360,22.949
pparg,4,23.588,5.577,24.746
pparg,5,5.142,41.816,29.293
pparg,6,25.681,27.108,48.625
pparg,7,-18.825,29.733,43.024
pparg,8,2.044,8.919,35.849
pparg,9,-9.858,34.566,5.799
pparg,10,24.273,31.278,20.707
pparg,11,8.664,15.427,15.537
pparg,12,-16.403,34.766,23.494
pparg,13,6.550,41.307,10.563
pparg,14,14.088,22.149,32.261
pparg,15,10.823,36.888,44.536
pparg,16,-2.534,24.742,35.024
pparg,17,-4.255,25.172,17.909
pparg,18,-13.028,16.880,45.318
pparg,19,-2.995,31.656,48.355
pparg,20,19.987,9.050,10.890
pparg,21,10.482,20.011,45.294
pparg,22,-0.761,23.978,1.724
pparg,23,-11.114,7.597,31.869
pparg,24,9.605,28.390,13.274
pparg,25,9.718,12.759,2.710
pparg,26,21.615,22.298,5.165
