target,grid_id,grid_x,grid_y,grid_z
prgr,1,5.221,-21.818,61.148
prgr,2,29.690,16.181,-23.207
prgr,3,-14.859,6.424,12.282
prgr,4,22.168,29.735,18.588
prgr,5,21.570,-10.169,7.277
prgr,6,-9.825,-25.710,28.405
prgr,7,4.910,9.975,44.546
prgr,8,47.084,2.404,-2.486
prgr,9,22.431,-30.153,38.338
prgr,10,5.695,4.895,-11.575
prgr,11,-1.300,34.590,9.401
prgr,12,22.982,-2.931,32.090
prgr,13,26.395,13.232,1.540
prgr,14,1.214,-5.995,25.143
prgr,15,-12.066,-11.046,44.683
prgr,16,6.914,14.019,16.342
prgr,17,10.000,27.094,-7.384
prgr,18,28.889,-4.813,-11.666
prgr,19,18.099,-8.957,51.207
prgr,20,4.299,-14.010,-4.075
prgr,21,-6.254,-17.491,11.440
prgr,22,4.513,-32.064,38.278
prgr,23,-19.178,-10.634,27.298
prgr,24,8.052,-22.080,22.536
prgr,25,-9.355,7.012,28.074
prgr,26,4.168,-7.254,41.525
