target,grid_id,grid_x,grid_y,grid_z
ptn1,1,69.865,13.963,20.075
ptn1,2,13.640,17.108,27.677
ptn1,3,37.792,-11.024,7.680
ptn1,4,35.937,26.080,-3.127
ptn1,5,53.479,42.779,19.468
ptn1,6,43.962,13.693,32.235
ptn1,7,55.258,6.258,1.814
ptn1,8,30.340,33.300,21.270
ptn1,9,20.308,-2.706,19.344
ptn1,10,26.755,5.456,1.820
ptn1,11,52.564,23.058,16.706
ptn1,12,61.164,30.504,32.116
ptn1,13,55.299,0.603,19.833
ptn1,14,17.774,29.591,8.106
ptn1,15,34.486,16.606,14.531
ptn1,16,78.593,21.948,7.344
ptn1,17,14.089,14.515,11.345
ptn1,18,40.861,3.298,-3.792
ptn1,19,28.426,13.179,28.161
ptn1,20,63.849,23.681,7.583
ptn1,21,57.999,10.596,31.699
ptn1,22,49.249,26.269,3.105
ptn1,23,46.424,30.910,26.497
ptn1,24,35.190,-2.139,18.129
ptn1,25,47.188,0.760,10.041
ptn1,26,67.024,10.248,3.008
