target,grid_id,grid_x,grid_y,grid_z
pur2,1,81.182,13.925,7.961
pur2,2,26.113,55.135,29.343
pur2,3,47.890,17.054,34.587
pur2,4,54.937,42.949,7.174
pur2,5,97.103,20.398,40.826
pur2,6,24.517,28.522,16.378
pur2,7,51.296,46.354,41.069
pur2,8,76.339,35.441,27.307
pur2,9,75.280,3.607,34.770
pur2,10,48.910,61.820,21.273
pur2,11,58.582,12.833,13.136
pur2,12,32.605,48.273,7.988
pur2,13,37.407,30.764,47.113
pur2,14,84.055,36.328,7.514
pur2,15,41.413,38.096,23.974
pur2,16,93.839,10.270,23.794
pur2,17,48.014,65.238,39.731
pur2,18,65.249,23.610,36.773
pur2,19,65.206,26.876,4.810
pur2,20,55.669,29.133,21.390
pur2,21,81.624,0.579,17.243
pur2,22,77.317,19.606,24.152
pur2,23,54.722,47.097,22.617
pur2,24,60.754,9.267,29.853
pur2,25,33.910,25.733,30.092
pur2,26,28.673,40.417,34.082
