target,grid_id,grid_x,grid_y,grid_z
pygm,1,-2.538,9.375,29.766
pygm,2,44.088,39.920,117.047
pygm,3,65.452,3.396,56.837
pygm,4,16.000,63.855,63.526
pygm,5,39.344,49.325,3.935
pygm,6,2.975,7.320,88.715
pygm,7,48.697,9.192,15.886
pygm,8,46.863,37.260,73.317
pygm,9,27.163,-9.556,49.962
pygm,10,41.181,2.767,101.857
pygm,11,9.192,48.697,100.214
pygm,12,-15.418,39.987,67.945
pygm,13,9.712,48.693,24.524
pygm,14,38.795,34.164,39.351
pygm,15,8.383,23.973,0.717
pygm,16,11.047,21.454,59.395
pygm,17,16.841,22.262,114.319
pygm,18,29.581,16.060,79.678
pygm,19,22.519,3.942,18.254
pygm,20,58.654,18.291,87.109
pygm,21,32.479,60.011,83.512
pygm,22,63.443,26.877,35.387
pygm,23,43.277,9.862,45.502
pygm,24,16.800,-2.304,107.957
pygm,25,9.026,-6.467,68.699
pygm,26,14.781,50.274,-0.282
