target,grid_id,grid_x,grid_y,grid_z
pyrd,1,57.584,56.405,-5.938
pyrd,2,31.462,20.105,27.709
pyrd,3,17.674,59.282,14.742
pyrd,4,29.111,33.958,-13.820
pyrd,5,60.628,43.437,27.518
pyrd,6,55.280,22.109,1.880
pyrd,7,45.905,65.968,20.544
pyrd,8,41.985,43.952,11.984
pyrd,9,19.137,35.618,12.463
pyrd,10,26.682,46.480,28.206
pyrd,11,33.016,65.934,4.025
pyrd,12,51.771,40.239,-15.180
pyrd,13,49.149,23.005,20.852
pyrd,14,37.866,49.136,-5.865
pyrd,15,46.479,39.891,39.518
pyrd,16,65.352,43.773,4.643
pyrd,17,34.491,22.570,10.539
pyrd,18,42.081,26.379,-6.212
pyrd,19,24.688,49.326,5.137
pyrd,20,44.639,64.427,-7.497
pyrd,21,53.307,53.194,16.516
pyrd,22,37.643,34.000,27.962
pyrd,23,42.897,48.399,27.618
pyrd,24,62.552,30.439,21.626
pyrd,25,47.269,38.855,-1.932
pyrd,26,28.168,34.609,0.159
