target,grid_id,grid_x,grid_y,grid_z
reni,1,-28.681,-8.970,-37.028
reni,2,17.562,26.622,26.484
reni,3,22.718,-27.581,-9.002
reni,4,-17.026,-8.064,10.733
reni,5,4.902,28.824,-19.603
reni,6,7.692,-9.229,-36.490
reni,7,13.359,-9.154,26.103
reni,8,-8.397,-33.661,-20.093
reni,9,25.608,9.631,-3.891
reni,10,-10.020,20.109,17.426
reni,11,-33.323,-22.032,-9.344
reni,12,-10.315,1.996,-16.439
reni,13,5.849,-3.981,1.071
reni,14,12.698,33.799,3.576
reni,15,-5.826,1.522,34.389
reni,16,21.788,-6.901,-18.787
reni,17,-15.658,-27.463,-39.603
reni,18,10.393,-29.790,-30.340
reni,19,-3.425,-22.747,-2.558
reni,20,-31.130,-1.543,-18.029
reni,21,9.293,9.445,20.428
reni,22,-4.200,24.448,-1.063
reni,23,29.945,26.854,9.269
reni,24,17.140,12.552,-21.083
reni,25,-11.456,-4.978,-44.858
reni,26,-12.935,-14.937,-24.327
