target,grid_id,grid_x,grid_y,grid_z
rock1,1,27.702,138.394,9.519
rock1,2,89.626,96.666,35.284
rock1,3,-38.733,134.936,25.692
rock1,4,36.717,87.221,26.595
rock1,5,-3.217,109.947,40.244
rock1,6,56.570,125.841,41.135
rock1,7,-10.435,119.518,1.779
rock1,8,67.048,108.802,5.684
rock1,9,-1.574,150.286,32.114
rock1,10,23.158,133.025,51.483
rock1,11,21.239,108.142,11.834
rock1,12,38.253,105.734,49.194
rock1,13,64.769,87.465,23.951
rock1,14,80.175,121.504,26.957
rock1,15,-6.464,146.629,2.115
rock1,16,-24.534,109.803,22.330
rock1,17,-16.808,132.060,42.788
rock1,18,45.115,120.124,15.519
rock1,19,68.212,105.021,50.450
rock1,20,10.115,126.720,24.898
rock1,21,36.230,135.884,31.832
rock1,22,-15.467,135.460,19.417
rock1,23,17.625,105.648,32.851
rock1,24,54.674,103.098,34.025
rock1,25,-30.414,118.733,3.969
rock1,26,76.594,103.105,21.380
