target,grid_id,grid_x,grid_y,grid_z
rxra,1,42.708,67.881,14.008
rxra,2,76.691,37.388,31.263
rxra,3,50.465,52.487,51.277
rxra,4,56.662,35.723,5.946
rxra,5,72.759,61.767,13.755
rxra,6,49.410,77.303,37.263
rxra,7,43.759,43.812,29.131
rxra,8,68.843,56.430,34.945
rxra,9,57.129,56.330,3.955
rxra,10,60.929,39.161,42.185
rxra,11,59.723,35.156,23.762
rxra,12,51.537,60.259,32.785
rxra,13,70.824,45.559,4.549
rxra,14,36.663,71.935,28.758
rxra,15,56.907,72.086,19.594
rxra,16,56.244,49.839,20.847
rxra,17,71.160,46.331,21.462
rxra,18,47.084,45.481,7.101
rxra,19,36.922,57.114,19.989
rxra,20,61.490,69.553,31.858
rxra,21,64.917,50.077,48.145
rxra,22,48.966,44.050,40.881
rxra,23,60.089,68.648,8.082
rxra,24,44.768,63.150,42.656
rxra,25,64.373,61.173,22.726
rxra,26,58.943,49.587,33.405
