target,grid_id,grid_x,grid_y,grid_z
sahh,1,49.321,-49.015,117.313
sahh,2,72.394,18.085,108.734
sahh,3,17.785,-7.346,88.036
sahh,4,66.500,-20.631,93.323
sahh,5,31.484,-13.691,125.623
sahh,6,63.495,-14.810,124.395
sahh,7,38.692,-34.100,89.609
sahh,8,47.415,-1.259,104.273
sahh,9,40.600,-12.444,76.530
sahh,10,17.801,-27.823,100.370
sahh,11,40.866,-32.760,130.636
sahh,12,49.297,-22.499,108.233
sahh,13,61.588,-43.311,100.732
sahh,14,20.761,-27.435,79.584
sahh,15,70.737,-0.939,94.604
sahh,16,35.216,1.946,88.943
sahh,17,28.161,-12.040,106.892
sahh,18,70.612,-0.497,114.279
sahh,19,31.721,-37.567,107.923
sahh,20,59.538,-33.756,118.502
sahh,21,49.643,-13.054,91.208
sahh,22,73.542,-23.649,114.944
sahh,23,53.562,0.332,119.282
sahh,24,30.514,3.579,105.477
sahh,25,46.305,-17.292,129.514
sahh,26,53.338,-30.609,93.911
