target,grid_id,grid_x,grid_y,grid_z
src,1,-2.707,-0.718,27.577
src,2,15.349,-32.040,-54.272
src,3,-3.384,-47.882,-1.403
src,4,-19.693,8.275,-22.619
src,5,27.649,-18.075,-13.265
src,6,-10.294,-22.491,-33.915
src,7,16.674,13.054,-13.772
src,8,-7.284,-12.283,-1.460
src,9,-5.533,20.509,6.685
src,10,18.245,-45.332,-27.730
src,11,16.897,7.752,11.847
src,12,10.919,-28.997,0.631
src,13,6.368,-10.379,-22.638
src,14,-3.796,-41.805,-26.924
src,15,23.782,-43.576,-7.122
src,16,16.673,-18.080,-39.194
src,17,-15.234,2.770,9.121
src,18,-1.044,5.392,-9.713
src,19,-0.449,-26.634,-14.701
src,20,-24.459,-3.886,-5.638
src,21,17.741,-3.767,-2.623
src,22,-0.481,16.779,24.040
src,23,0.933,-21.525,-53.612
src,24,5.767,-31.878,-39.386
src,25,16.485,-28.889,-22.879
src,26,3.237,-9.471,14.336
