target,grid_id,grid_x,grid_y,grid_z
tgfr1,1,8.844,53.881,-7.008
tgfr1,2,24.581,101.182,20.371
tgfr1,3,-6.858,65.658,30.680
tgfr1,4,24.859,66.683,23.891
tgfr1,5,0.512,84.045,5.383
tgfr1,6,29.377,78.379,-1.396
tgfr1,7,12.468,85.191,37.157
tgfr1,8,7.034,52.847,16.966
tgfr1,9,-16.781,69.438,2.872
tgfr1,10,21.304,41.636,5.616
tgfr1,11,15.870,96.324,1.752
tgfr1,12,5.869,96.324,19.868
tgfr1,13,25.793,61.335,5.150
tgfr1,14,30.242,83.197,18.504
tgfr1,15,12.940,72.599,-0.393
tgfr1,16,-3.171,80.983,25.234
tgfr1,17,10.134,69.309,32.919
tgfr1,18,21.701,63.353,-10.950
tgfr1,19,-2.329,63.733,10.669
tgfr1,20,10.912,76.480,14.611
tgfr1,21,-14.585,68.765,17.319
tgfr1,22,22.566,73.442,38.389
tgfr1,23,20.655,50.789,16.587
tgfr1,24,21.223,83.430,8.652
tgfr1,25,5.620,66.338,21.131
tgfr1,26,8.390,48.490,4.732
