target,grid_id,grid_x,grid_y,grid_z
thb,1,18.621,29.535,88.021
thb,2,1.524,23.347,29.381
thb,3,35.765,14.837,51.411
thb,4,-9.787,20.615,64.577
thb,5,15.359,4.007,71.082
thb,6,15.469,39.027,48.714
thb,7,8.809,11.268,50.304
thb,8,20.935,24.556,64.496
thb,9,27.028,26.694,35.349
thb,10,-6.097,27.108,47.714
thb,11,4.576,25.772,74.759
thb,12,32.551,33.374,50.154
thb,13,32.432,26.530,76.580
thb,14,25.735,6.692,59.946
thb,15,15.407,16.621,36.507
thb,16,15.351,38.695,66.980
thb,17,-0.803,9.770,70.481
thb,18,13.135,16.347,82.903
thb,19,5.454,35.752,36.895
thb,20,15.833,25.229,49.775
thb,21,4.782,18.873,61.034
thb,22,24.335,11.193,45.566
thb,23,26.334,14.846,75.869
thb,24,22.506,37.383,77.889
thb,25,18.109,39.117,35.977
thb,26,5.407,34.422,55.482
