target,grid_id,grid_x,grid_y,grid_z
thrb,1,-2.772,-12.141,23.610
thrb,2,34.800,11.026,24.201
thrb,3,17.358,-1.101,-11.731
thrb,4,3.702,19.368,16.942
thrb,5,17.250,-8.588,45.775
thrb,6,26.201,-13.293,15.111
thrb,7,16.675,15.605,36.499
thrb,8,-0.387,2.487,1.216
thrb,9,19.337,6.796,8.165
thrb,10,20.047,-24.183,33.722
thrb,11,-9.355,3.764,18.313
thrb,12,5.593,-13.134,7.576
thrb,13,28.436,-8.988,32.670
thrb,14,9.375,0.101,33.155
thrb,15,1.273,-12.861,41.072
thrb,16,21.915,3.012,22.986
thrb,17,8.206,1.399,15.538
thrb,18,25.468,-6.100,2.762
thrb,19,2.895,12.708,33.683
thrb,20,6.576,-21.628,18.734
thrb,21,32.346,3.463,9.391
thrb,22,6.419,-5.796,-6.204
thrb,23,8.795,11.221,1.756
thrb,24,24.814,2.774,35.639
thrb,25,14.859,-10.594,31.249
thrb,26,20.085,13.091,-2.198
