target,grid_id,grid_x,grid_y,grid_z
try1,1,33.810,13.096,13.620
try1,2,6.128,-4.149,36.800
try1,3,2.829,8.437,7.006
try1,4,32.257,10.226,44.774
try1,5,7.100,24.973,28.624
try1,6,31.044,-6.478,29.420
try1,7,47.751,13.842,30.211
try1,8,16.650,24.391,7.940
try1,9,16.519,6.472,21.956
try1,10,11.726,12.039,45.967
try1,11,30.319,27.196,26.456
try1,12,-1.332,9.208,29.284
try1,13,16.609,-8.846,26.499
try1,14,16.008,7.771,1.997
try1,15,17.932,4.505,36.167
try1,16,39.699,2.865,34.210
try1,17,6.075,20.492,15.869
try1,18,28.490,9.315,26.782
try1,19,24.749,19.501,35.481
try1,20,29.998,3.183,6.647
try1,21,36.003,25.997,15.728
try1,22,11.186,14.246,34.255
try1,23,3.398,3.396,17.772
try1,24,36.077,0.117,21.389
try1,25,38.494,19.893,28.009
try1,26,21.781,10.889,13.655
