target,grid_id,grid_x,grid_y,grid_z
tryb1,1,10.129,87.889,75.576
tryb1,2,78.810,108.017,94.418
tryb1,3,53.520,50.584,95.192
tryb1,4,26.644,132.231,110.109
tryb1,5,43.921,126.817,66.809
tryb1,6,10.069,59.449,104.818
tryb1,7,51.663,81.384,69.426
tryb1,8,5.351,124.149,77.388
tryb1,9,43.352,84.380,103.251
tryb1,10,58.882,131.999,96.141
tryb1,11,21.467,59.373,76.019
tryb1,12,9.460,103.499,101.928
tryb1,13,-6.825,64.672,79.502
tryb1,14,37.857,103.049,82.064
tryb1,15,71.247,72.548,87.021
tryb1,16,64.002,106.487,72.159
tryb1,17,-5.147,81.654,104.753
tryb1,18,3.831,127.414,103.187
tryb1,19,34.018,62.000,107.372
tryb1,20,18.334,81.043,97.178
tryb1,21,35.021,110.502,104.628
tryb1,22,58.098,103.298,104.339
tryb1,23,46.664,55.591,73.386
tryb1,24,20.068,139.088,86.677
tryb1,25,36.260,125.190,87.618
tryb1,26,20.206,110.939,70.071
