target,grid_id,grid_x,grid_y,grid_z
tysy,1,25.671,18.738,46.858
tysy,2,43.835,47.068,1.595
tysy,3,42.998,54.971,43.443
tysy,4,11.744,2.629,14.589
tysy,5,11.333,42.733,15.473
tysy,6,57.432,24.697,31.665
tysy,7,42.009,-3.908,31.712
tysy,8,37.983,17.105,7.207
tysy,9,34.319,35.846,26.450
tysy,10,30.027,60.747,16.964
tysy,11,4.104,22.359,36.237
tysy,12,56.895,47.054,23.959
tysy,13,14.410,-1.847,35.602
tysy,14,42.232,31.962,45.853
tysy,15,19.498,21.928,21.574
tysy,16,20.928,38.278,41.963
tysy,17,44.350,11.037,45.097
tysy,18,56.920,33.030,2.351
tysy,19,29.688,1.082,52.503
tysy,20,26.970,36.689,7.043
tysy,21,34.015,11.322,27.134
tysy,22,10.857,12.461,54.031
tysy,23,28.749,52.830,34.059
tysy,24,47.699,27.940,15.801
tysy,25,50.371,10.763,25.184
tysy,26,45.395,58.217,27.331
