target,grid_id,grid_x,grid_y,grid_z
urok,1,12.535,13.812,39.618
urok,2,6.649,2.827,6.750
urok,3,12.868,-17.887,32.129
urok,4,12.770,37.736,20.921
urok,5,29.493,1.212,22.390
urok,6,-5.851,18.117,21.538
urok,7,30.645,23.890,26.804
urok,8,-3.621,-2.041,40.144
urok,9,31.963,-8.379,40.856
urok,10,28.192,9.355,50.794
urok,11,8.029,32.852,41.241
urok,12,16.539,18.318,14.388
urok,13,11.906,-0.322,27.544
urok,14,14.942,-7.614,45.291
urok,15,21.713,26.115,39.427
urok,16,1.341,21.911,33.732
urok,17,22.579,11.959,29.507
urok,18,21.899,38.139,31.590
urok,19,0.723,-11.525,29.657
urok,20,3.709,17.332,9.403
urok,21,1.971,7.978,32.728
urok,22,23.884,-10.916,25.064
urok,23,14.678,25.159,25.884
urok,24,12.274,4.070,50.393
urok,25,21.762,6.945,11.814
urok,26,6.073,7.689,19.769
