target,grid_id,grid_x,grid_y,grid_z
vgfr2,1,28.280,49.677,10.777
vgfr2,2,36.499,-26.365,44.686
vgfr2,3,79.888,26.359,1.068
vgfr2,4,1.126,5.980,20.650
vgfr2,5,48.180,19.907,42.762
vgfr2,6,60.655,56.294,31.898
vgfr2,7,31.521,17.692,-2.668
vgfr2,8,52.075,-0.655,17.324
vgfr2,9,19.025,7.674,49.986
vgfr2,10,57.755,50.316,-1.760
vgfr2,11,23.960,-7.914,12.633
vgfr2,12,60.819,28.399,20.833
vgfr2,13,17.446,25.864,26.900
vgfr2,14,56.576,-11.709,40.718
vgfr2,15,34.021,3.773,31.874
vgfr2,16,39.557,-2.010,56.446
vgfr2,17,39.594,23.943,16.550
vgfr2,18,45.138,43.266,24.426
vgfr2,19,12.078,-8.868,30.969
vgfr2,20,15.904,34.060,3.986
vgfr2,21,60.513,14.121,5.934
vgfr2,22,46.462,33.434,-0.337
vgfr2,23,71.968,41.638,10.960
vgfr2,24,64.190,32.159,-7.259
vgfr2,25,54.023,61.322,12.861
vgfr2,26,39.755,-13.399,30.100
