target,grid_id,grid_x,grid_y,grid_z
wee1,1,-6.560,73.660,32.823
wee1,2,19.627,18.647,20.567
wee1,3,-9.740,35.245,45.599
wee1,4,8.235,46.190,5.340
wee1,5,17.651,49.045,36.110
wee1,6,-8.644,22.200,15.699
wee1,7,-6.605,53.635,21.713
wee1,8,3.740,20.229,37.576
wee1,9,-13.122,55.236,41.652
wee1,10,12.733,68.380,28.231
wee1,11,23.488,37.057,21.232
wee1,12,2.188,37.685,22.422
wee1,13,19.992,32.768,41.258
wee1,14,3.644,50.343,45.968
wee1,15,9.775,27.892,10.019
wee1,16,-10.889,25.145,32.600
wee1,17,10.781,51.394,19.610
wee1,18,-10.018,40.802,31.464
wee1,19,3.916,34.088,41.289
wee1,20,-16.178,62.702,30.499
wee1,21,-2.238,66.617,21.754
wee1,22,11.423,31.022,29.670
wee1,23,-2.529,51.718,34.072
wee1,24,23.397,50.230,24.614
wee1,25,3.872,20.951,18.909
wee1,26,5.035,61.077,39.598
