target,grid_id,grid_x,grid_y,grid_z
xiap,1,10.728,13.519,-24.160
xiap,2,-34.771,4.730,-16.694
xiap,3,-4.062,-7.641,-1.340
xiap,4,11.552,18.448,5.337
xiap,5,-11.772,20.762,-9.778
xiap,6,-12.315,-6.637,-26.366
xiap,7,-12.946,13.666,-29.644
xiap,8,-19.527,5.355,-1.019
xiap,9,23.477,22.039,-13.593
xiap,10,8.647,1.735,-10.166
xiap,11,7.880,29.926,-17.337
xiap,12,-26.309,4.901,-34.607
xiap,13,-2.986,8.524,-1.175
xiap,14,-27.046,17.904,-12.015
xiap,15,-16.543,6.235,-16.413
xiap,16,20.658,7.844,-15.826
xiap,17,-14.015,-7.186,-12.346
xiap,18,-3.832,4.675,-22.335
xiap,19,2.289,20.243,-6.186
xiap,20,-25.313,-4.391,-17.673
xiap,21,15.749,9.014,-2.609
xiap,22,-0.364,16.241,-19.633
xiap,23,-14.445,-4.267,3.197
xiap,24,16.286,22.549,-4.536
xiap,25,-3.399,3.056,-11.305
xiap,26,-11.942,21.209,-20.763
