grid_x,grid_y,grid_z
37.571,31.701,0.575
-4.306,1.632,26.566
35.359,-10.882,14.594
26.838,21.611,32.949
11.233,13.851,1.31
53.455,10.832,22.746
6.664,33.785,16.506
40.839,7.382,0.658
24.599,7.488,17.969
8.812,-6.762,14.472
14.324,37.511,-0.925
8.666,16.217,23.883
-5.587,10.424,9.794
39.188,22.801,18.604
24.849,33.114,12.916
27.106,16.012,-3.53
-6.993,19.276,26.064
40.915,13.72,30.436
29.49,2.376,31.16
49.833,1.642,11.836
15.684,28.941,27.114
45.376,19.99,6.066
3.502,26.298,33.197
25.458,-3.485,9.004
36.967,2.388,17.763
30.026,21.011,9.046
