grid_x,grid_y,grid_z
11.688,18.254,18.702
20.626,-25.509,34.875
6.065,-7.62,-7.785
-3.584,-10.978,24.74
33.204,-0.364,22.13
9.102,5.01,40.983
25.291,5.278,0.374
-6.543,10.407,27.021
15.496,-8.433,12.152
-1.112,9.896,6.323
24.391,12.777,38.027
-1.719,-7.643,7.766
19.687,-9.043,38.762
6.956,-22.361,16.5
2.345,-12.881,40.287
28.245,15.118,21.692
2.683,21.77,32.799
9.136,-1.63,26.886
34.484,-15.366,21.122
19.652,-10.083,-2.855
10.444,7.496,-1.716
21.494,16.433,9.269
21.885,-15.862,24.949
-0.681,3.077,18.498
10.936,-18.59,30.627
17.434,7.749,22.302
