grid_x,grid_y,grid_z
70.967,16.136,20.867
13.173,17.545,26.203
38.896,24.325,-5.806
43.169,-10.315,8.518
47.246,37.985,22.416
43.516,14.156,31.961
23.06,35.935,10.131
62.512,9.658,-0.879
21.102,0.538,10.958
42.266,3.681,-6.198
34.118,16.878,14.481
55.074,3.403,20.36
60.989,30.328,32.059
55.508,30.766,8.345
30.733,29.674,26.03
15.197,15.259,10.505
29.784,5.122,23.934
51.471,22.714,20.584
30.749,-4.769,0.872
37.283,32.211,12.632
49.16,16.018,1.06
28.133,15.364,1.55
75.91,16.847,8.355
36.56,0.345,13.376
56.358,12.431,31.234
59.098,14.009,10.838
