grid_x,grid_y,grid_z
30.901,6.321,-18.947
91.054,35.848,23.936
26.223,63.317,19.213
36.053,14.943,39.401
88.554,13.499,-23.381
72.576,-8.703,15.382
56.305,39.346,-2.61
-1.152,31.442,8.769
34.289,-12.156,15.036
60.218,51.822,32.853
68.842,15.495,37.551
60.74,30.315,-32.956
60.011,7.777,-9.543
35.6,17.932,8.972
23.072,52.756,-8.633
86.105,37.537,-4.378
5.048,6.796,-3.417
18.162,38.408,27.752
87.365,11.952,9.07
13.431,11.249,27.517
19.219,28.344,-10.785
53.155,29.881,24.347
77.992,54.089,17.484
54.052,8.12,18.656
46.425,24.654,-16.802
72.753,29.288,13.013
