grid_x,grid_y,grid_z
-12.942,88.111,34.537
32.72,55.933,81.355
-20.642,37.014,63.218
17.41,51.323,39.185
-1.042,80.156,74.759
27.195,88.089,42.625
-11.271,59.957,43.677
5.881,46.718,69.097
-22.647,62.498,70.887
22.97,69.04,61.066
3.948,96.111,50.045
6.992,75.951,38.274
25.812,39.454,59.432
19.931,74.137,81.842
-19.271,82.591,53.897
33.568,63.134,44.652
-4.941,41.696,51.577
13.258,54.801,86.243
17.529,88.04,64.084
-25.144,74.159,37.86
1.655,72.212,58.075
-25.166,54.263,54.679
-4.831,63.457,72.049
3.161,56.234,52.729
-17.105,47.626,75.427
31.055,54.981,63.1
