grid_x,grid_y,grid_z
67.45,41.408,-0.052
10.117,13.355,8.225
53.758,18.863,44.466
25.453,38.956,30.132
55.541,7.508,9.548
37.501,29.311,-7.781
71.825,27.463,24.219
31.327,13.415,30.673
50.063,45.602,24.531
29.502,6.864,-6.278
22.339,31.467,8.968
52.271,27.905,11.884
48.682,49.543,-3.703
49.889,8.369,29.131
43.099,29.224,33.74
31.868,16.993,10.315
39.688,39.583,10.776
51.241,21.532,-3.651
58.803,33.531,31.328
44.356,45.478,39.327
22.396,23.959,-4.507
62.581,16.904,29.348
57.538,41.767,10.709
26.092,26.536,22.428
70.839,30.297,8.547
29.334,26.11,37.256
