grid_x,grid_y,grid_z
-15.406,83.928,29.132
37.396,58.141,79.806
-18.671,37.262,66.669
4.38,90.637,71.422
25.38,61.44,29.994
18.087,38.603,55.798
29.927,81.172,54.914
-9.597,65.844,55.977
5.578,52.403,78.029
5.578,91.784,44.974
2.437,51.587,39.44
18.584,73.453,80.71
31.764,57.753,52.389
3.596,72.096,28.836
-19.378,84.562,54.135
14.956,65.187,62.276
-18.926,49.973,48.534
-22.782,62.261,70.239
-3.951,73.882,77.37
-1.149,40.639,59.845
-18.53,67.057,36.864
22.606,44.602,77.219
19.857,78.656,34.567
5.227,73.358,48.6
-10.212,50.38,72.638
19.332,56.694,87.436
