grid_x,grid_y,grid_z
24.604,18.897,45.467
54.671,30.653,2.07
29.091,60.901,25.967
7.032,5.043,13.467
58.136,42.788,37.402
43.205,-5.011,31.947
20.215,34.475,9.4
4.825,37.041,36.102
34.422,10.33,8.315
50.146,19.41,27.776
32.662,46.087,45.157
47.288,52.088,10.234
13.114,-2.355,35.484
15.91,19.376,25.415
44.101,10.628,44.967
34.949,41.422,20.629
25.412,52.703,8.122
5.125,19.44,43.243
28.223,1.336,51.674
43.654,58.483,37.247
33.443,11.843,27.143
16.127,49.148,27.029
52.556,35.623,18.702
40.824,32.365,39.138
18.656,17.2,61.361
21.509,20.535,-0.271
