grid_x,grid_y,grid_z
-11.284,11.614,46.552
12.193,-4.419,-18.039
18.024,-29.472,41.289
31.298,19.237,20.64
-4.81,-12.261,14.03
20.46,-4.702,66.564
27.441,-11.896,14.187
1.344,21.68,15.5
-6.885,-17.699,52.762
14.499,1.433,38.043
-1.299,13.565,-7.901
26.484,6.804,-1.919
8.154,25.629,43.545
15.973,-21.545,-1.76
32.202,-6.836,47.153
-11.11,2.893,27.645
15.19,6.571,18.006
3.472,-17.55,32.169
5.185,6.496,59.465
12.34,34.113,26.347
7.329,-4.29,0.698
13.534,-19.173,56.351
13.684,-22.932,17.004
-13.727,-12.068,36.806
32.589,4.614,30.582
19.261,20.39,6.112
