grid_x,grid_y,grid_z
41.912,58.043,27.906
26.361,115.147,48.971
23.375,71.889,75.058
-2.38,79.139,36.94
62.562,86.005,56.672
32.775,95.484,16.492
29.306,81.981,45.371
58.702,57.13,50.965
53.784,83.627,30.675
9.791,108.823,28.61
44.054,101.756,66.918
14.482,59.591,34.844
12.533,97.095,56.54
34.476,57.118,59.838
41.18,100.132,37.649
9.696,75.694,56.057
45.882,79.507,68.662
19.29,85.186,27.274
28.361,87.183,65.073
57.074,65.505,34.146
19.169,99.452,40.424
58.465,67.712,64.9
0.753,96.159,36.371
44.408,88.561,54.008
41.142,68.86,41.316
32.598,99.896,53.159
