grid_x,grid_y,grid_z
35.003,-16.552,5.701
-15.815,10.928,31.61
-3.331,11.375,-20.953
24.396,9.844,36.867
-0.666,-25.507,18.893
23.571,16.741,2.068
13.039,-18.603,-14.504
0.243,0.089,6.951
0.748,-9.862,41.757
4.916,20.867,23.778
20.524,-16.279,24.985
-19.923,-8.668,15.042
-10.381,-10.047,-10.838
17.338,5.419,-18.522
19.387,3.33,17.447
39.463,3.977,3.566
12.104,-16.236,5.667
-13.131,-22.857,34.437
36.193,-1.902,24.858
29.043,-5.901,-9.388
-15.871,11.661,13.103
0.365,2.701,25.141
32.287,16.734,17.82
0.561,15.378,-1.907
11.344,-3.017,-4.966
-3.952,-12.204,26.616
