grid_x,grid_y,grid_z
55.0,8.448,68.519
-7.013,8.227,61.906
24.964,39.973,49.704
28.932,-5.35,33.562
21.235,20.938,81.036
22.389,-24.062,63.342
40.077,17.507,45.523
25.899,1.515,60.033
11.958,20.08,54.045
36.796,31.051,66.858
41.696,-10.655,49.616
17.249,-12.126,48.836
36.425,10.915,73.305
4.902,15.952,73.801
7.979,3.625,53.339
43.135,2.598,38.695
14.499,31.9,70.92
41.18,-2.978,63.914
11.994,1.054,68.244
28.393,27.103,41.603
25.861,14.638,51.848
18.079,15.523,66.796
46.558,21.082,58.085
34.766,-15.836,61.176
-1.088,21.147,61.561
32.147,-20.796,48.205
