grid_x,grid_y,grid_z
-34.112,29.092,10.147
-46.067,72.959,-11.243
1.277,47.861,24.994
-19.385,43.308,-25.842
-30.194,61.006,21.772
-57.405,59.174,11.769
-14.646,65.014,-8.916
-43.873,44.906,-10.644
-21.632,35.434,31.843
-9.712,36.079,5.626
-29.537,62.721,-26.633
-9.921,56.87,9.576
-24.663,48.007,-2.231
-31.887,71.483,4.227
-43.986,44.154,18.324
-21.43,31.201,-10.918
-7.411,32.92,23.123
-20.468,43.206,16.329
-42.04,59.502,-2.345
-12.876,59.959,25.36
-45.207,69.166,12.75
-16.733,22.734,8.163
-22.671,50.561,32.138
-33.582,46.853,-21.144
-11.581,41.725,-8.02
-34.912,34.593,-6.643
