grid_x,grid_y,grid_z
35.606,72.021,67.727
28.382,13.853,13.909
66.864,48.254,27.942
33.39,21.383,69.71
15.457,43.528,39.808
58.384,12.55,36.025
55.145,47.355,61.133
27.433,4.539,42.341
44.849,37.324,7.773
42.569,54.675,38.5
19.397,43.6,67.554
37.446,27.251,41.106
58.585,25.495,56.634
17.651,26.334,53.242
24.732,34.318,17.183
58.203,20.118,16.424
38.565,52.321,72.135
17.031,21.006,34.277
30.095,52.172,53.97
53.051,33.565,32.265
68.332,44.187,46.455
37.144,36.243,59.548
42.774,19.397,25.798
69.012,26.196,33.522
45.266,62.851,56.726
45.483,46.8,23.97
