grid_x,grid_y,grid_z
-11.428,39.436,29.33
-13.672,2.959,0.456
1.065,3.541,40.01
-27.657,13.184,27.603
-7.789,26.632,52.768
-18.854,25.89,10.597
4.255,23.33,33.867
-2.024,6.927,16.774
-22.432,28.244,39.171
-32.877,15.804,11.889
-11.617,15.972,38.725
3.256,36.275,43.58
-2.926,32.167,18.857
-24.404,3.668,10.553
-27.812,28.534,25.448
2.592,17.699,46.62
-5.103,13.193,4.874
-14.845,8.021,28.045
-8.296,29.907,38.46
-15.017,28.815,22.649
-8.732,17.938,17.024
-19.989,13.042,16.693
-2.722,16.501,57.071
-16.038,19.428,1.227
-0.147,34.767,32.009
-6.367,23.029,27.295
