grid_x,grid_y,grid_z
14.928,6.799,56.288
30.634,-22.91,75.757
9.944,2.41,85.259
39.595,-3.752,54.669
9.969,-18.953,52.478
32.041,0.742,77.833
20.749,-8.279,40.117
14.663,-11.355,69.88
16.829,12.975,73.19
2.619,-4.991,59.525
27.065,-17.634,52.766
19.452,-11.732,85.122
26.788,-0.636,61.763
15.259,6.005,41.546
3.996,2.974,70.736
35.634,-16.293,65.291
13.479,-23.751,64.395
28.652,-2.767,48.045
29.253,-3.932,88.664
16.973,-10.343,57.201
4.003,-6.368,79.812
32.528,-11.54,78.055
26.03,-23.915,65.016
15.026,-0.96,65.016
21.745,6.199,80.725
7.359,0.061,46.841
