grid_x,grid_y,grid_z
38.244,-19.959,26.738
24.097,9.378,11.139
44.879,11.108,41.153
18.572,4.098,35.294
25.478,-16.692,9.514
40.755,0.889,20.225
22.616,-9.956,25.479
40.582,-5.07,44.165
33.629,-1.661,5.758
31.169,11.839,31.967
46.35,-8.909,31.753
19.424,-3.42,12.527
28.614,5.353,43.82
19.793,9.885,23.471
30.313,-6.196,34.938
35.114,-9.689,14.682
30.626,3.472,23.613
16.589,-0.844,24.314
37.654,-9.563,25.267
43.71,4.358,29.182
48.358,0.691,44.596
36.677,0.282,33.58
30.392,10.54,17.817
38.312,-10.157,36.055
37.359,4.166,41.563
22.38,-3.943,37.011
