grid_x,grid_y,grid_z
27.457,10.503,12.203
3.177,13.536,59.697
-15.517,27.702,13.854
16.78,42.203,33.565
-2.395,5.208,30.153
10.563,27.564,-6.785
23.043,2.34,36.901
-4.467,29.361,39.891
6.498,2.609,0.523
23.844,27.319,51.185
9.799,27.962,16.262
-8.182,17.268,-2.137
12.042,-2.765,19.81
21.915,22.448,30.309
28.703,29.903,13.796
1.224,-0.422,48.187
-7.088,37.061,1.868
-7.321,4.204,14.376
-6.616,13.896,44.37
10.737,12.775,38.754
14.228,14.945,5.675
-4.576,22.864,25.952
8.803,26.145,48.411
15.571,12.014,21.734
1.953,36.06,28.519
29.64,1.946,24.295
