grid_x,grid_y,grid_z
7.973,28.095,36.194
-16.136,9.344,2.803
-8.123,-5.736,37.003
21.3,8.382,7.5
2.363,35.127,8.319
0.921,9.229,20.225
-12.045,25.037,29.656
5.39,17.098,0.006
-0.119,11.613,41.344
15.656,24.525,19.591
20.144,7.558,25.719
-17.489,28.01,12.699
-17.005,8.036,21.078
-20.044,6.987,37.43
-9.944,24.264,0.358
-0.282,27.952,21.146
6.95,-0.509,11.291
-3.437,9.826,6.681
13.506,12.493,35.722
10.934,14.698,12.563
-0.177,2.536,30.965
-5.044,19.722,13.52
-9.702,-0.942,24.336
-12.999,0.445,9.288
3.928,16.963,31.737
6.303,24.834,10.059
