grid_x,grid_y,grid_z
2.595,50.582,9.197
34.576,28.447,42.423
-13.728,40.167,46.54
15.811,20.943,-1.449
-18.033,18.473,21.595
8.538,62.255,38.361
5.906,18.795,39.617
-7.306,31.485,-6.531
26.068,47.207,26.884
3.819,31.318,20.748
23.486,13.794,28.347
10.357,40.934,38.973
-14.793,41.098,15.229
-7.718,56.664,25.22
10.882,38.792,-6.766
16.797,37.599,11.268
-5.907,55.49,46.873
-1.415,19.127,3.78
-9.858,22.695,35.744
23.705,31.447,30.052
8.484,46.216,23.081
-5.965,41.752,28.555
-18.289,29.482,3.56
19.783,24.183,16.918
4.164,42.503,52.336
-12.19,46.499,1.831
