grid_x,grid_y,grid_z
9.507,20.015,38.536
41.177,-20.584,65.898
12.02,20.381,84.489
26.357,49.521,59.233
42.172,16.845,53.652
4.218,-1.25,62.973
-4.214,27.821,62.896
24.309,-0.407,46.478
27.521,34.285,42.7
26.505,25.391,67.015
6.803,41.399,50.286
24.172,-0.472,68.474
16.284,12.044,21.349
31.458,16.89,33.886
49.371,-6.58,54.534
8.068,15.756,67.813
11.113,-1.191,80.267
23.73,18.886,48.941
12.136,34.792,64.893
7.989,4.993,47.801
38.022,36.621,54.522
33.88,10.803,65.84
-1.344,22.192,77.908
1.46,26.168,49.211
12.549,33.012,33.417
22.284,7.397,80.892
