grid_x,grid_y,grid_z
34.098,40.29,-1.114
85.35,15.054,-6.947
48.64,5.049,11.868
54.844,21.467,-22.739
65.03,32.544,12.124
72.013,37.997,-12.147
28.339,15.74,-0.146
44.016,28.153,21.842
63.01,11.031,-4.447
49.949,43.627,-14.797
47.959,25.639,0.303
74.475,21.47,-21.666
58.735,43.625,0.319
45.153,43.529,11.433
53.861,4.459,-17.088
30.376,34.933,14.697
62.877,13.357,11.629
74.118,20.352,2.644
83.912,30.128,-6.757
63.292,26.463,-11.255
44.958,28.839,-13.073
68.423,9.524,-19.548
53.106,22.446,13.31
48.093,16.246,-9.607
70.043,36.017,0.656
82.751,35.853,-18.959
