Ligand;SMILES
1e66/active_1.mol;OCC[C@]12C=C(CC)C[C@H](C1)c1c(C2)[nH]c2=C[C@@H](C=Cc2c1N)Cl
1e66/active_10.mol;Cc1ccc(cc1)C(=O)NCCC1CC[NH](CC1)Cc1ccccc1
1e66/active_11.mol;COc1cc2c(cc1OC)C[C@H](C2=O)CC1CC[NH](CC1)Cc1cccc(c1)C
1e66/active_12.mol;C/C=C/1\[C@H]2C=C(C[C@]1([NH3])c1c(C2)[nH]c(=O)cc1)C
1e66/active_13.mol;O=C(c1ccccc1)Nc1ccc2c(c1)C(=O)N(C2=O)CCC1CC[NH](CC1)Cc1ccccc1
1e66/active_14.mol;O=C1c2ncccc2C(=O)N1CCC1CC[NH](CC1)Cc1ccccc1
1e66/active_15.mol;C/C=C/1\[C@@H]2C=C(C[C@@]1([NH3])c1c(C2)[nH]c(=O)cc1)C
1e66/active_16.mol;COc1ccc2c3c1O[C@@H]1[C@@]3(CCN(C2)C)C=C[C@@H](C1)O
1e66/active_2.mol;CCC1=C[C@]2(C[C@@H](C1)c1c(C2)[nH]c2=C[C@@H](C=Cc2c1N)Cl)CO
1e66/active_3.mol;CCC1=C[C@H]2C[C@@H](C1)c1c(C2)[nH]c2=C[C@@H](C=Cc2c1N)Cl
1e66/active_4.mol;C=CC1=C[C@H]2C[C@@H](C1)C1=C(C2)Nc2c([C@@H]1N)ccc(c2)C
1e66/active_5.mol;COc1cc2c(cc1OC)C[C@H](C2=O)CC1CC[NH](CC1)CCc1ccccc1
1e66/active_6.mol;COc1cc2c(cc1OC)C[C@H](C2=O)C[NH]1CC[NH](CC1)Cc1ccccc1
1e66/active_7.mol;O=C(c1ccncc1)NCCC1CC[NH](CC1)Cc1ccccc1
1e66/active_8.mol;Clc1ccc2c(c1)[nH]c(=O)n(c2=O)CCC1CC[NH](CC1)Cc1ccccc1
1e66/active_9.mol;CC1=C[C@H]2Cc3c([C@@]4(C1)[C@@H]2CCC[NH2]4)ccc(=O)[nH]3
1b5j/active_1.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CC(=O)N)[NH3]
1b5j/active_10.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])Cc1ccccc1)[NH3]
1b5j/active_11.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])[C@H](O)C)[NH3]
1b5j/active_12.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CO)[NH3]
1b5j/active_13.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])[C@H](CC)C)[NH3]
1b5j/active_14.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])C)[NH3]
1b5j/active_15.mol;[NH3]CCCC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)[O])CCCC[NH3])[NH3]
1b5j/active_16.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])[NH3]
1b5j/active_2.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CCC(=O)N)[NH3]
1b5j/active_3.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])NC(=O)[C@H](CCCC[NH3])[NH3]
1b5j/active_4.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CCC(=O)[O])[NH3]
1b5j/active_5.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CCSC)[NH3]
1b5j/active_6.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])Cc1[nH]cnc1)[NH3]
1b5j/active_7.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])CC(=O)[O])[NH3]
1b5j/active_8.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])Cc1ccc(cc1)O)[NH3]
1b5j/active_9.mol;[NH3]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O])CCCC[NH3])Cc1ccccc1)[NH3]
1bxo/active_1.mol;COC(=O)[C@@H]1Cc2cccc(c2)CNC(=O)C[C@@H](C(=O)N[C@H]([P@@](=O)(O1)[O])CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C
1bxo/active_2.mol;CNC(=O)C([C@@H]([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)O)(F)F
