Ligand;Grid;Run;dG;VS
CP-1;0;1;-6.79231;-7.92247
CP-1;0;2;-5.94146;-7.31094
CP-1;0;3;-7.20645;-8.32902
CP-1;0;4;-6.5647;-7.84686
CP-1;0;5;-6.24077;-7.47118
CP-1;0;6;-6.50529;-7.95582
CP-1;0;7;-6.23992;-7.45895
CP-1;0;8;-7.04587;-7.91231
CP-1;0;9;-7.1194;-8.32385
CP-1;0;10;-5.36303;-6.87799
CP-1;1;1;-4.26913;-5.2588800000000004
CP-1;1;2;-4.47036;-5.46038
CP-1;1;3;-4.31631;-5.47007
CP-1;1;4;-4.53742;-5.60296
CP-1;1;5;-4.27731;-5.14905
CP-1;1;6;-4.19917;-5.16587
CP-1;1;7;-4.39387;-5.36966
CP-1;1;8;-4.61507;-5.59562
CP-1;1;9;-4.43409;-5.49437
CP-1;1;10;-4.56936;-5.46282
CP-1;10;1;-5.90395;-6.9296
CP-1;10;2;-5.76579;-7.02137
CP-1;10;3;-5.98901;-7.0136
CP-1;10;4;-5.69513;-6.71676
CP-1;10;5;-5.65748;-6.66575
CP-1;10;6;-6.36384;-7.40942
CP-1;10;7;-5.30519;-6.39182
CP-1;10;8;-5.92708;-6.94709
CP-1;10;9;-6.58466;-7.50879
CP-1;10;10;-6.42991;-7.39039
CP-1;11;1;-3.8518;-5.22327
CP-1;11;2;-4.13679;-5.57605
CP-1;11;3;-4.20278;-5.30391
CP-1;11;4;-4.08557;-5.55153
CP-1;11;5;-4.1872;-5.37014
CP-1;11;6;-4.24657;-5.671
CP-1;11;7;-3.96677;-5.30928
CP-1;11;8;-4.23915;-5.70776
CP-1;11;9;-4.68972;-5.83369
CP-1;11;10;-3.90005;-5.2488
CP-1;12;1;-4.28421;-5.23926
CP-1;12;2;-3.6774;-5.00072
CP-1;12;3;-3.99548;-5.29671
CP-1;12;4;-3.69383;-4.61104
CP-1;12;5;-3.75144;-4.65672
CP-1;12;6;-4.00875;-4.99305
CP-1;12;7;-4.23403;-5.31582
CP-1;12;8;-4.04561;-5.07876
CP-1;12;9;-3.82849;-5.09407
CP-1;12;10;-3.57047;-4.78163
CP-1;13;1;-3.56187;-4.95567
CP-1;13;2;-3.28259;-4.72755
CP-1;13;3;-3.12983;-4.44502
CP-1;13;4;-3.53257;-4.4609
CP-1;13;5;-3.66005;-4.82672
CP-1;13;6;-3.84528;-5.10158
CP-1;13;7;-3.73727;-5.21101
CP-1;13;8;-3.39793;-4.69739
CP-1;13;9;-3.58899;-4.72131
CP-1;13;10;-3.38011;-4.32576
CP-1;14;1;-5.20331;-6.37245
CP-1;14;2;-4.9078;-6.27205
CP-1;14;3;-5.08368;-6.54787
CP-1;14;4;-5.10726;-6.10528
CP-1;14;5;-5.15188;-6.41312
CP-1;14;6;-4.08946;-5.66249
CP-1;14;7;-4.85977;-6.28158
CP-1;14;8;-5.15795;-6.39581
CP-1;14;9;-3.96755;-5.67431
CP-1;14;10;-4.74077;-6.09292
CP-1;15;1;-5.56855;-6.76379
CP-1;15;2;-5.29576;-6.43171
CP-1;15;3;-5.33168;-6.63318
CP-1;15;4;-5.64835;-6.86921
CP-1;15;5;-4.27823;-5.80215
CP-1;15;6;-5.27161;-6.51389
CP-1;15;7;-5.1616;-6.52229
CP-1;15;8;-5.27639;-6.41575
CP-1;15;9;-5.36351;-6.4556
CP-1;15;10;-5.40916;-6.52929
CP-1;16;1;-4.41459;-5.86324
CP-1;16;2;-3.89442;-5.85867
CP-1;16;3;-3.92536;-5.76254
CP-1;16;4;-3.88574;-5.71166
CP-1;16;5;-3.87703;-5.71049
CP-1;16;6;-3.91608;-5.71423
CP-1;16;7;-3.89263;-5.76866
CP-1;16;8;-4.18901;-5.64253
CP-1;16;9;-4.40088;-5.75851
CP-1;16;10;-4.91969;-5.86356
CP-1;17;1;-6.33193;-7.0201
CP-1;17;2;-6.06694;-6.71414
CP-1;17;3;-6.21435;-6.96844
CP-1;17;4;-5.96409;-6.8402
CP-1;17;5;-5.83466;-6.54877
CP-1;17;6;-5.99514;-6.6555
CP-1;17;7;-5.92381;-6.60683
CP-1;17;8;-6.04963;-6.65223
CP-1;17;9;-5.0912;-6.0643
CP-1;17;10;-5.93194;-6.53968
CP-1;18;1;-5.19335;-6.08669
CP-1;18;2;-5.48684;-6.50465
CP-1;18;3;-5.30262;-6.27966
CP-1;18;4;-4.78882;-5.97324
CP-1;18;5;-5.48522;-6.56762
CP-1;18;6;-5.00821;-6.23385
CP-1;18;7;-5.58818;-6.71018
CP-1;18;8;-5.23432;-6.21975
CP-1;18;9;-5.48062;-6.41334
CP-1;18;10;-5.26598;-6.44245
CP-1;19;1;-5.238;-6.07977
CP-1;19;2;-5.23972;-6.13224
CP-1;19;3;-5.27695;-6.16828
CP-1;19;4;-5.16498;-6.09669
CP-1;19;5;-5.10339;-6.00863
CP-1;19;6;-5.27142;-6.15868
CP-1;19;7;-4.86233;-5.79008
CP-1;19;8;-4.80769;-5.90353
CP-1;19;9;-5.10018;-6.08117
CP-1;19;10;-5.17174;-6.0782
CP-1;2;1;-5.15967;-6.2164
CP-1;2;2;-5.30246;-6.48403
CP-1;2;3;-5.03485;-6.02395
CP-1;2;4;-5.35705;-6.41413
CP-1;2;5;-5.29733;-6.4732
CP-1;2;6;-3.80385;-5.27134
CP-1;2;7;-4.83289;-5.92535
CP-1;2;8;-4.33515;-5.52166
CP-1;2;9;-4.76751;-5.89504
CP-1;2;10;-4.99249;-6.15626
CP-1;20;1;-5.56982;-6.70019
CP-1;20;2;-5.25943;-6.42939
CP-1;20;3;-4.94554;-6.14078
CP-1;20;4;-5.47968;-6.73633
CP-1;20;5;-5.51368;-6.77407
CP-1;20;6;-5.6185600000000004;-6.74102
CP-1;20;7;-5.28884;-6.46062
CP-1;20;8;-4.99382;-6.22513
CP-1;20;9;-5.52041;-6.64642
CP-1;20;10;-5.20788;-6.41853
CP-1;21;1;-5.84005;-6.62837
CP-1;21;2;-5.72779;-6.62081
CP-1;21;3;-5.3075;-6.22399
CP-1;21;4;-5.39172;-6.1598
CP-1;21;5;-5.7665;-6.64865
CP-1;21;6;-5.62946;-6.50399
CP-1;21;7;-5.7027;-6.59571
CP-1;21;8;-5.53003;-6.47724
CP-1;21;9;-5.46774;-6.41948
CP-1;21;10;-5.67575;-6.49322
CP-1;22;1;-4.59868;-5.68936
CP-1;22;2;-3.67147;-4.94563
CP-1;22;3;-4.33306;-5.4614
CP-1;22;4;-4.32576;-5.3934
CP-1;22;5;-4.34702;-5.45751
CP-1;22;6;-4.43001;-5.42683
CP-1;22;7;-4.00998;-5.35295
CP-1;22;8;-4.09331;-5.30123
CP-1;22;9;-4.15434;-5.21574
CP-1;22;10;-3.40901;-4.76498
CP-1;23;1;-4.83821;-5.92859
CP-1;23;2;-4.79387;-5.71354
CP-1;23;3;-5.07536;-6.31849
CP-1;23;4;-4.94434;-5.99594
CP-1;23;5;-4.7471;-5.88555
CP-1;23;6;-4.29206;-5.84524
CP-1;23;7;-5.10288;-5.95327
CP-1;23;8;-4.85228;-6.23323
CP-1;23;9;-4.76938;-5.89645
CP-1;23;10;-4.87861;-6.08054
CP-1;24;1;-5.50436;-6.5874
CP-1;24;2;-5.66133;-6.65092
CP-1;24;3;-5.4125;-6.46704
CP-1;24;4;-5.36347;-6.14734
CP-1;24;5;-5.47233;-6.29746
CP-1;24;6;-5.57231;-6.75049
CP-1;24;7;-5.57682;-6.70008
CP-1;24;8;-5.4575;-6.5018
CP-1;24;9;-5.34596;-6.46573
CP-1;24;10;-5.77785;-6.70844
CP-1;25;1;-4.16337;-4.59145
CP-1;25;2;-3.93933;-4.45939
CP-1;25;3;-4.40524;-4.98619
CP-1;25;4;-4.24972;-4.68678
CP-1;25;5;-4.60673;-5.26118
CP-1;25;6;-4.10474;-4.54616
CP-1;25;7;-4.13495;-4.67159
CP-1;25;8;-3.98243;-4.42677
CP-1;25;9;-4.28181;-4.75864
CP-1;25;10;-4.18866;-4.67515
