target,ligand,QAS,type,ASVal
1b5j,1b5j/active-9,0,1,-14.3915
1b5j,decoy-1006,0,0,-3.07127
1b5j,decoy-1007,0,0,13.4747
1b5j,decoy-1013,0,0,-8.67708
1b5j,decoy-1023,0,0,-10.4997
1b5j,decoy-1038,0,0,-8.88363
1b5j,decoy-1045,0,0,-10.7985
1b5j,decoy-1058,0,0,-9.37871
1b5j,decoy-1059,0,0,-2.86186
1b5j,decoy-111,0,0,-8.6254
1b5j,decoy-127,0,0,-7.42179
1b5j,decoy-138,0,0,-6.10527
1b5j,decoy-144,0,0,-9.60192
1b5j,decoy-149,0,0,-5.15878
1b5j,decoy-157,0,0,-8.25687
1b5j,decoy-164,0,0,-10.7266
1b5j,decoy-179,0,0,-11.3273
1b5j,decoy-180,0,0,-8.05818
1b5j,decoy-212,0,0,3.58638
1b5j,decoy-224,0,0,-6.79543
1b5j,decoy-23,0,0,-10.4115
1b5j,decoy-236,0,0,-9.71036
1b5j,decoy-24,0,0,-11.0459
1b5j,decoy-246,0,0,-7.67404
1b5j,decoy-255,0,0,-4.94959
1b5j,decoy-264,0,0,-10.5023
1b5j,decoy-265,0,0,-8.12028
1b5j,decoy-28,0,0,-9.72258
1b5j,decoy-289,0,0,-9.4705
1b5j,decoy-296,0,0,-7.0071
1b5j,decoy-320,0,0,-7.43999
1b5j,decoy-329,0,0,-8.55449
1b5j,decoy-355,0,0,-9.88552
1b5j,decoy-364,0,0,-4.39326
1b5j,decoy-366,0,0,-9.11571
1b5j,decoy-377,0,0,-8.18213
1b5j,decoy-388,0,0,-8.11215
1b5j,decoy-403,0,0,-8.24369
1b5j,decoy-41,0,0,-10.1868
1b5j,decoy-415,0,0,-12.0789
1b5j,decoy-416,0,0,-9.34427
1b5j,decoy-417,0,0,-7.72969
1b5j,decoy-447,0,0,-8.65591
1b5j,decoy-458,0,0,-8.40746
1b5j,decoy-462,0,0,-6.98012
1b5j,decoy-464,0,0,-11.7615
1b5j,decoy-471,0,0,-2.28577
1b5j,decoy-474,0,0,-8.87557
1b5j,decoy-479,0,0,-8.35214
1b5j,decoy-484,0,0,-8.76483
1b5j,decoy-490,0,0,-11.1224
1b5j,decoy-503,0,0,-4.2203
1b5j,decoy-530,0,0,-10.2843
1b5j,decoy-561,0,0,-9.14222
1b5j,decoy-565,0,0,-6.22419
1b5j,decoy-57,0,0,-7.71338
1b5j,decoy-573,0,0,-7.93345
1b5j,decoy-581,0,0,-11.1599
1b5j,decoy-582,0,0,-7.70911
1b5j,decoy-585,0,0,-7.83622
1b5j,decoy-591,0,0,-6.33369
1b5j,decoy-598,0,0,-5.03086
1b5j,decoy-6,0,0,-10.5975
1b5j,decoy-600,0,0,-8.57204
1b5j,decoy-604,0,0,-8.50505
1b5j,decoy-609,0,0,-8.43636
1b5j,decoy-612,0,0,-8.72044
1b5j,decoy-613,0,0,-9.054
1b5j,decoy-62,0,0,-10.2016
1b5j,decoy-624,0,0,4.60904
1b5j,decoy-625,0,0,-5.58984
1b5j,decoy-628,0,0,-5.50887
1b5j,decoy-635,0,0,-9.25054
1b5j,decoy-638,0,0,-9.4625
1b5j,decoy-652,0,0,-10.0985
1b5j,decoy-658,0,0,-8.27736
1b5j,decoy-669,0,0,-6.73255
1b5j,decoy-672,0,0,-7.83824
1b5j,decoy-675,0,0,-0.0117737
1b5j,decoy-677,0,0,-11.239
1b5j,decoy-729,0,0,-9.77649
1b5j,decoy-748,0,0,-8.7479
1b5j,decoy-754,0,0,-8.87016
1b5j,decoy-764,0,0,-8.2716
1b5j,decoy-770,0,0,-1.84822
1b5j,decoy-771,0,0,-10.342
1b5j,decoy-795,0,0,-6.80581
1b5j,decoy-803,0,0,-7.73755
1b5j,decoy-812,0,0,-7.2682
1b5j,decoy-829,0,0,11.243
1b5j,decoy-83,0,0,-6.55002
1b5j,decoy-84,0,0,-8.7467
1b5j,decoy-845,0,0,-6.76187
1b5j,decoy-857,0,0,-6.81569
1b5j,decoy-864,0,0,-11.5137
1b5j,decoy-878,0,0,-6.85261
1b5j,decoy-884,0,0,-7.68401
1b5j,decoy-886,0,0,-7.02765
1b5j,decoy-898,0,0,-6.2331
1b5j,decoy-905,0,0,-9.80605
1b5j,decoy-91,0,0,-10.9614
1b5j,decoy-922,0,0,-5.61197
1b5j,decoy-923,0,0,-7.61783
1b5j,decoy-935,0,0,-8.22843
1b5j,decoy-937,0,0,-8.63812
1b5j,decoy-95,0,0,-7.74792
1b5j,decoy-951,0,0,-7.54039
1b5j,decoy-96,0,0,-9.96031
1b5j,decoy-966,0,0,-9.55946
1b5j,decoy-978,0,0,-8.46363
1b5j,decoy-990,0,0,-9.35961
1b5j,decoy-999,0,0,7.77255
1bxo,decoy-1011,0,0,-7.00302
1bxo,decoy-1012,0,0,-9.58238
1bxo,decoy-1015,0,0,-9.83878
1bxo,decoy-102,0,0,-13.683
1bxo,decoy-103,0,0,-7.13697
1bxo,decoy-1031,0,0,-5.64221
1bxo,decoy-1037,0,0,-10.1997
1bxo,decoy-1040,0,0,0.669144
1bxo,decoy-1045,0,0,-8.31297
1bxo,decoy-1055,0,0,-6.35611
1bxo,decoy-111,0,0,-6.80226
1bxo,decoy-112,0,0,-5.36147
1bxo,decoy-12,0,0,-6.5553
