ligand;count
decoy-330;21
decoy-44;16
decoy-864;13
decoy-102;12
decoy-848;11
decoy-252;10
decoy-614;9
decoy-270;8
decoy-560;8
decoy-597;8
decoy-136;7
decoy-208;7
decoy-274;7
decoy-798;6
decoy-1037;5
decoy-1052;5
decoy-182;5
decoy-184;5
decoy-33;5
decoy-476;5
decoy-865;5
decoy-324;4
decoy-416;4
decoy-463;4
decoy-568;4
decoy-586;4
decoy-693;4
decoy-725;4
decoy-945;4
decoy-125;3
decoy-247;3
decoy-309;3
decoy-335;3
decoy-340;3
decoy-415;3
decoy-516;3
decoy-539;3
decoy-552;3
decoy-599;3
decoy-653;3
decoy-700;3
decoy-860;3
decoy-889;3
decoy-930;3
decoy-955;3
decoy-1030;2
decoy-15;2
decoy-197;2
decoy-221;2
decoy-236;2
decoy-24;2
decoy-253;2
decoy-254;2
decoy-257;2
decoy-259;2
decoy-288;2
decoy-393;2
decoy-407;2
decoy-422;2
decoy-431;2
decoy-45;2
decoy-471;2
decoy-481;2
decoy-509;2
decoy-522;2
decoy-526;2
decoy-558;2
decoy-578;2
decoy-589;2
decoy-6;2
decoy-61;2
decoy-762;2
decoy-817;2
decoy-831;2
decoy-838;2
decoy-840;2
decoy-863;2
decoy-904;2
decoy-922;2
decoy-924;2
decoy-1010;1
decoy-1015;1
decoy-1025;1
decoy-1027;1
decoy-1032;1
decoy-1059;1
decoy-147;1
decoy-150;1
decoy-179;1
decoy-180;1
decoy-186;1
decoy-23;1
decoy-241;1
decoy-250;1
decoy-269;1
decoy-282;1
decoy-295;1
decoy-299;1
decoy-311;1
decoy-328;1
decoy-334;1
decoy-35;1
decoy-352;1
decoy-379;1
decoy-421;1
decoy-446;1
decoy-486;1
decoy-490;1
decoy-498;1
decoy-517;1
decoy-536;1
decoy-567;1
decoy-574;1
decoy-576;1
decoy-620;1
decoy-648;1
decoy-650;1
decoy-652;1
decoy-655;1
decoy-666;1
decoy-667;1
decoy-67;1
decoy-673;1
decoy-722;1
decoy-726;1
decoy-755;1
decoy-788;1
decoy-793;1
decoy-810;1
decoy-811;1
decoy-82;1
decoy-828;1
decoy-832;1
decoy-858;1
decoy-867;1
decoy-880;1
decoy-883;1
decoy-913;1
decoy-928;1
decoy-954;1
decoy-957;1
decoy-968;1
decoy-978;1
decoy-980;1
decoy-981;1
decoy-982;1
decoy-994;1
